"A23C3E2","{-K15 - K16/2 + K2, 2*K15 + K16 + K7, (3*K15)/2 + (3*K16)/4 - K3/2 - K4/2 + K9, 2*M1 + M2, M3}","{2*K15 + K16, 2*K15 + K16 - K3 - K6, 6*K1 + 2*K15 + K16 + 2*K3 + 2*K6, {K15 - K16, M1}}",""
"A23C3E4","{3*K1 - 2*K15 - K16 + 3*K2 + K3 + K6, 2*K15 + K16 + K7, (3*K15)/2 + (3*K16)/4 - K3/2 - K4/2 + K9, 2*M1 + M2, M3}","{2*K15 + K16, K1 + K2, 2*K15 + K16 - 2*K2, {K15 - K16, M1}, {2*K15 + K16 - 2*K3 - K4, 3*K1 + 3*K2 - 2*K3 - K4}}",""
"A23C4E2","{2*K15 + K16, 6*K2 + K7, (9*K2)/2 - K3/2 - K4/2 + K9, 2*M1 + M2, M3}","{K2, 3*K1 + 3*K2 + K3 + K6, K3 + K6, {K15, M1}}","Text[""(Demonstrably impossible)""]"
"A23C4E4","{-2*K15 - K16 + K3 + K6, -4*K15 - 2*K16 + 6*K2 + K7, -3*K15 - (3*K16)/2 + (9*K2)/2 - K3/2 - K4/2 + K9, 2*M1 + M2, M3}","{2*K15 + K16 - 2*K2, K1 + K2, 2*K15 + K16, {K15 - K16, M1}}","Text[""(Demonstrably impossible)""]"
"A23B1D1E1","{K15, K16, K3 + K6, M1, M2}","{}","Text[""(Demonstrably impossible)""]"
"A23B2C1E2","{2*K15 + K16, K1 + K2, K3 + K6, 2*M1 + M2, M3}","{}","Text[""(Demonstrably impossible)""]"
"A23B2C1E3","{2*K15 + K16, 2*K3 + K4, K3 + K6, K3/2 + K9, 2*M1 + M2}","{K7}","Text[""(Demonstrably impossible)""]"
"A23B2C1E4","{2*K15 + K16, K3 + K6, K7, -1/2*K3 - K4/2 + K9, 2*M1 + M2}","{2*K3 + K4}","Text[""(Demonstrably impossible)""]"
"A23C2F1","{4*K15 + K16/2 - (9*K2)/2 + K3/2 + K4, (-9*K16)/4 + (9*K2)/4 - (5*K3)/4 + K6, -4*K15 - 2*K16 + 6*K2 + K7, -K15 - (5*K16)/4 + (9*K2)/4 - K3/4 + K9, -M1 + M2, -M1 + M3}","{K15 - K16, 12*K1 - 8*K15 + 5*K16 + 3*K2 + 9*K3, {2*K15 + K16, M1}, {2*K15 + K16 - 2*K2, M1}, {8*K15 + 5*K16 - 9*K2 + K3, M1}, {8*K15 - 5*K16 + 9*K2 - 9*K3, M1}}","Text[""(Demonstrably impossible)""]"
"A23C2F2","{-1/2*K15 - (7*K16)/4 + K3/2 + K4, (9*K15)/4 - (9*K16)/8 - (5*K3)/4 + K6, 2*K15 + K16 + K7, (5*K15)/4 - K16/8 - K3/4 + K9, M1, M2}","{K15 - K16, 2*K15 - K16 - 2*K3, 2*K15 + K16, 34*K15 - K16 - 18*K3, {2*K15 + K16 - 2*K2, M3}, {24*K1 - 34*K15 + K16 + 24*K2 + 18*K3, M3}}","Text[""(Demonstrably impossible)""]"
"A23C4F2","{16*K15 + 8*K16 - 18*K2 + 2*K3 + K4, 18*K15 + 9*K16 - 18*K2 + K3 + K6, -4*K15 - 2*K16 + 6*K2 + K7, 5*K15 + (5*K16)/2 - (9*K2)/2 + K3/2 + K9, 2*M1 + M2, M3}","{3*K1 - 20*K15 - 10*K16 + 21*K2, 2*K15 + K16 - 2*K2, 2*K15 + K16, 10*K15 + 5*K16 - 9*K2, {8*K15 + 5*K16 - 9*K2 + K3, M1}, {K15 - K16, M1}}","Text[""(Demonstrably impossible)""]"
"A23B1D1F1","{K15, K16, 3*K1 + 3*K2 + K3 + K6, M1, M2, M3}","{K1 + K2}",""
"A23B1D1F2","{K15, K16, K7, -1/2*K3 - K4/2 + K9, M1, M2}","{K3 + K6}","Text[""(Demonstrably impossible)""]"
"A23B1D2F1","{-K15 + K16, K1 + K2, -3*K15 + K3 + K6, M1, M2, M3}","{K15}",""
"A23B1D2F2","{-K15 + K16, -3*K15 + K3 + K6, 3*K15 + K7, (9*K15)/4 - K3/2 - K4/2 + K9, M1, M2}","{K15}","Text[""(Demonstrably impossible)""]"
"A23B1D3F3","{-K15 + K16, -6*K1 + 6*K15 - 6*K2 - 4*K3 + K4, 3*K1 - 3*K15 + 3*K2 + K3 + K6, 3*K1 - 3*K15 + 3*K2 + 2*K3 + K9, -M1 + M2, -M1 + M3}","{}","Text[""(Demonstrably impossible)""]"
"A23B1D3F4","{-K15 + K16, 3*K1 - 3*K15 + 3*K2 + K3 + K6, -6*K15 + 6*K2 + K7, (-9*K15)/2 + (9*K2)/2 - K3/2 - K4/2 + K9, -M1 + M2, -M1 + M3}","{}","Text[""(Demonstrably impossible)""]"
"A23B1D4F1","{K15, K16, -K3 + K4/2 + K6, K4/2 + K9, M1, M2}","{K4, 4*K3 - K4}","Text[""(Demonstrably impossible)""]"
"A23B1D4F2","{-K15 + K16, -2*K15 + K4, K15 - K3 + K6, K15 + K9, M1, M2}","{K15, 2*K15 - K3}","Text[""(Demonstrably impossible)""]"
"A23B1D4F3","{-K15 + K16, 6*K15 - 4*K3 + K4, -3*K15 + K3 + K6, -3*K15 + 2*K3 + K9, M1, M2}","{K15, 2*K15 - K3}","Text[""(Demonstrably impossible)""]"
"A23B2D2F2","{2*K15 + K16, 3*K1 + 3*K2 + 2*K3 + K4, 3*K1 + 3*K2 + K3 + K6, (3*K1)/4 + (3*K2)/4 + K3/2 + K9, 2*M1 + M2, M3}","{K1 + K2}","Text[""(Demonstrably impossible)""]"
"A23B2D3F1","{K15, K16, -K3 - K4 + K6, -1/4*K4 + K9, M1, M2}","{2*K3 + K4, K4}","Text[""(Demonstrably impossible)""]"
